gender,age,annual_income,spending_score
Male,19,15.0,39
Male,21,15.0,81
Female,20,16.0,6
Female,23,16.0,77
Female,31,17.0,40
Female,22,17.0,76
Female,35,18.0,6
Female,23,18.0,94
Male,64,19.0,3
Female,30,19.0,72
Male,67,19.0,14
Female,35,19.0,99
Female,58,20.0,15
Female,24,20.0,77
Male,37,20.0,13
Male,22,20.0,79
Female,35,21.0,35
Male,20,21.0,66
Male,52,23.0,29
Female,35,23.0,98
Male,35,24.0,35
Male,25,24.0,73
Female,46,25.0,5
Male,31,25.0,73
Female,54,28.0,14
Male,29,28.0,82
Female,45,28.0,32
Male,35,28.0,61
Female,40,29.0,31
Female,23,29.0,87
Male,60,30.0,4
Female,21,30.0,73
Male,53,33.0,4
Male,18,33.0,92
Female,49,33.0,14
Female,21,33.0,81
Female,42,34.0,17
Female,30,34.0,73
Female,36,37.0,26
Female,20,37.0,75
Female,65,38.0,35
Male,24,38.0,92
Male,48,39.0,36
Female,31,39.0,61
Female,49,39.0,28
Female,24,39.0,65
Female,50,40.0,55
Female,27,40.0,47
Female,29,40.0,42
Female,31,40.0,42
Female,49,42.0,52
Male,33,42.0,60
Female,31,43.0,54
Male,59,43.0,60
Female,50,43.0,45
Male,47,43.0,41
Female,51,44.0,50
Male,69,44.0,46
Female,27,46.0,51
Male,53,46.0,46
Male,70,46.0,56
Male,19,46.0,55
Female,67,47.0,52
Female,54,47.0,59
Male,63,48.0,51
Male,18,48.0,59
Female,43,48.0,50
Female,68,48.0,48
Male,19,48.0,59
Female,32,48.0,47
Male,70,49.0,55
Female,47,49.0,42
Female,60,50.0,49
Female,60,50.0,56
Male,59,54.0,47
Male,26,54.0,54
Female,45,54.0,53
Male,40,54.0,48
Female,23,54.0,52
Female,49,54.0,42
Male,57,54.0,51
Male,38,54.0,55
Male,67,54.0,41
Female,46,54.0,44
Female,21,54.0,57
Male,48,54.0,46
Female,55,57.0,58
Female,22,57.0,55
Female,34,58.0,60
Female,50,58.0,46
Female,68,59.0,55
Male,18,59.0,41
Male,48,60.0,49
Female,40,60.0,40
Female,32,60.0,42
Male,24,60.0,52
Female,47,60.0,47
Female,27,60.0,50
Male,48,61.0,42
Male,20,61.0,49
Female,23,62.0,41
Female,49,62.0,48
Male,67,62.0,59
Male,26,62.0,55
Male,49,62.0,56
Female,21,62.0,42
Female,66,63.0,50
Male,54,63.0,46
Male,68,63.0,43
Male,66,63.0,48
Male,65,63.0,52
Female,19,63.0,54
Female,38,64.0,42
Male,19,64.0,46
Female,18,65.0,48
Female,19,65.0,50
Female,63,65.0,43
Female,49,65.0,59
Female,51,67.0,43
Female,50,67.0,57
Male,27,67.0,56
Female,38,67.0,40
Female,40,69.0,58
Male,39,69.0,91
Female,23,70.0,29
Female,31,70.0,77
Male,43,71.0,35
Male,40,71.0,95
Male,59,71.0,11
Male,38,71.0,75
Male,47,71.0,9
Male,39,71.0,75
Female,25,72.0,34
Female,31,72.0,71
Male,20,73.0,5
Female,29,73.0,88
Female,44,73.0,7
Male,32,73.0,73
Male,19,74.0,10
Female,35,74.0,72
Female,57,75.0,5
Male,32,75.0,93
Female,28,76.0,40
Female,32,76.0,87
Male,25,77.0,12
Male,28,77.0,97
Male,48,77.0,36
Female,32,77.0,74
Female,34,78.0,22
Male,34,78.0,90
Male,43,78.0,17
Male,39,78.0,88
Female,44,78.0,20
Female,38,78.0,76
Female,47,78.0,16
Female,27,78.0,89
Male,37,78.0,1
Female,30,78.0,78
Male,34,78.0,1
Female,30,78.0,73
Female,56,79.0,35
Female,29,79.0,83
Male,19,81.0,5
Female,31,81.0,93
Male,50,85.0,26
Female,36,85.0,75
Male,42,86.0,20
Female,33,86.0,95
Female,36,87.0,27
Male,32,87.0,63
Male,40,87.0,13
Male,28,87.0,75
Male,36,87.0,10
Male,36,87.0,92
Female,52,88.0,13
Female,30,88.0,86
Male,58,88.0,15
Male,27,88.0,69
Male,59,93.0,14
Male,35,93.0,90
Female,37,97.0,32
Female,32,97.0,86
Male,46,98.0,15
Female,29,98.0,88
Female,41,99.0,39
Male,30,99.0,97
Female,54,101.0,24
Male,28,101.0,68
Female,41,103.0,17
Female,36,103.0,85
Female,34,103.0,23
Female,32,103.0,69
Male,33,113.0,8
Female,38,113.0,91
Female,47,120.0,16
Female,35,120.0,79
Female,45,126.0,28
Male,32,126.0,74
Male,32,132.75,18
Male,30,132.75,83
